source_term,preferred_term,rule_type,justification,multi_sdg_query_count,potentially_multi_sdg
adolescent girls,adolescent girl,plural_singular,Plural 's' → singular,0,False
adolescents,adolescent,plural_singular,Plural 's' → singular,0,False
aids,acquired immunodeficiency syndrome,acronym_expansion,Acronym expansion,1,False
antioxidants,antioxidant,plural_singular,Plural 's' → singular,0,False
attitudes,attitude,plural_singular,Plural 's' → singular,0,False
babies,baby,plural_singular,Plural 'ies' → singular,1,False
caregivers,caregiver,plural_singular,Plural 's' → singular,0,False
cities,city,plural_singular,Plural 'ies' → singular,1,False
covid-19,covid19,hyphen,Hyphenated → unhyphenated form,1,False
deforestation,forest loss,synonym_map,Synonym → preferred term,0,False
desertification,land degradation,synonym_map,Synonym → preferred term,1,False
developing countries,developing country,plural_singular,Plural 'ies' → singular,0,False
duties,duty,plural_singular,Plural 'ies' → singular,1,False
economics,economic,plural_singular,Plural 's' → singular,0,False
essential oils,essential oil,plural_singular,Plural 's' → singular,0,False
experiences,experience,plural_singular,Plural 's' → singular,0,False
fisheries,fishery,plural_singular,Plural 'ies' → singular,1,False
food insecurity,food security,synonym_map,Synonym → preferred term,1,False
gdp,gross domestic product,acronym_expansion,Acronym expansion,7,True
ghg,greenhouse gas,acronym_expansion,Acronym expansion,1,False
global warming,climate change,synonym_map,Synonym → preferred term,1,False
green-house effect,greenhouse effect,hyphen,Hyphenated → unhyphenated form,1,False
green-house gas,greenhouse gas,hyphen,Hyphenated → unhyphenated form,1,False
heavy metals,heavy metal,plural_singular,Plural 's' → singular,0,False
hiv,human immunodeficiency virus,acronym_expansion,Acronym expansion,1,False
human rights,human right,plural_singular,Plural 's' → singular,0,False
ict,information and communication technology,acronym_expansion,Acronym expansion,1,False
institutions,institution,plural_singular,Plural 's' → singular,0,False
interventions,intervention,plural_singular,Plural 's' → singular,0,False
labor,labour,british_american,American → British spelling,1,False
livelihoods,livelihood,plural_singular,Plural 's' → singular,0,False
macro-econom,macroeconom,hyphen,Hyphenated → unhyphenated form,1,False
micro-credit,microcredit,hyphen,Hyphenated → unhyphenated form,1,False
micro-enterprise,microenterprise,hyphen,Hyphenated → unhyphenated form,1,False
micro-financ,microfinanc,hyphen,Hyphenated → unhyphenated form,2,True
micro-plastic,microplastic,hyphen,Hyphenated → unhyphenated form,1,False
microplastics,microplastic,plural_singular,Plural 's' → singular,0,False
natural resources,natural resource,plural_singular,Plural 's' → singular,0,False
ngo,non-governmental organisation,acronym_expansion,Acronym expansion,1,False
non-discriminat,nondiscriminat,hyphen,Hyphenated → unhyphenated form,2,True
non-governmental organisation,nongovernmental organisation,hyphen,Hyphenated → unhyphenated form,1,False
non-governmental organization,nongovernmental organization,hyphen,Hyphenated → unhyphenated form,1,False
non-indigenous,nonindigenous,hyphen,Hyphenated → unhyphenated form,1,False
non-native,nonnative,hyphen,Hyphenated → unhyphenated form,1,False
